,link
0,http://nld.com.vn/giao-duc-khoa-hoc/fpt-hop-tac-voi-chuoi-dai-hoc-dao-tao-nhan-luc-chat-luong-cao-20230307191047607.htm
1,http://nld.com.vn/giao-duc/dai-hoc-fpt-nang-cap-tinh-nang-cong-cu-chon-truong-20160415195135739.htm
2,http://nld.com.vn/phap-luat/luy-tinh-nam-sinh-dai-hoc-fpt-sat-hai-ban-gai-20220720134155076.htm
3,http://nld.com.vn/giao-duc-khoa-hoc/truong-dh-fpt-khong-tang-hoc-phi-sau-y-kien-cua-bo-gd-dt-20210813184917913.htm
4,http://nld.com.vn/giao-duc-khoa-hoc/gan-5000-tan-sinh-vien-truong-dh-fpt-khai-giang-nam-hoc-moi-2020092013521268.htm
5,http://nld.com.vn/giao-duc-khoa-hoc/truong-dh-dau-tien-tren-ca-nuoc-hoan-thanh-tuyen-sinh-nam-2020-20200922090114089.htm
6,http://nld.com.vn/giao-duc-khoa-hoc/truong-dh-fpt-xet-tuyen-thi-sinh-top-50-ky-thi-tot-nghiep-thpt-20200829093305454.htm
7,http://nld.com.vn/thoi-su/benh-nhan-covid-19-la-sinh-vien-dh-fpt-co-52-f1-nhieu-f1-da-ve-que-20210201101201306.htm
8,http://nld.com.vn/giao-duc/hanh-trinh-10-nam-doi-moi-giao-duc-dai-hoc-20161225174315773.htm
9,http://nld.com.vn/giao-duc-khoa-hoc/nu-sinh-17-tuoi-chuan-bi-tot-nghiep-dai-hoc-duoc-fpt-moi-ve-lam-viec-cap-hoc-bong-thac-si-2020032015404154.htm
10,http://nld.com.vn/giao-duc-khoa-hoc/truong-dh-fpt-khong-tang-hoc-phi-sau-y-kien-cua-bo-gd-dt-20210813184917913.htm
11,http://nld.com.vn/giao-duc-khoa-hoc/dai-hoc-quoc-gia-ha-noi-giu-vai-tro-dau-tau-trong-he-thong-giao-duc-dh-20230414193245659.htm
12,http://nld.com.vn/giao-duc-khoa-hoc/bo-gd-dt-de-nghi-truong-dh-fpt-khong-tang-hoc-phi-2021081219280428.htm
13,http://nld.com.vn/giao-duc-khoa-hoc/dai-hoc-fpt-dau-tu-694-ti-dong-xay-phan-hieu-chuyen-dao-tao-ai-tai-binh-dinh-20191220175723174.htm
14,https://nld.com.vn/giao-duc-khoa-hoc/dh-fpt-xet-tuyen-thang-du-hoc-sinh-cac-truong-top-1000-the-gioi-20200729184837884.htm
15,http://nld.com.vn/giao-duc/dai-hoc-fpt-tuyen-sinh-nganh-kien-truc-20160630200427333.htm
16,http://nld.com.vn/thoi-su/nam-sinh-vien-dh-fpt-hanh-hung-ban-do-mau-trong-trong-truong-20230521203514727.htm
17,http://nld.com.vn/giao-duc-khoa-hoc/nhieu-truong-cong-bo-phuong-an-tuyen-sinh-cap-ngan-hoc-bong-20230215163458548.htm
18,http://nld.com.vn/hoi-nhap/dai-hoc-fpt-duoc-chon-truong-kinh-doanh-tot-nhat-viet-nam-2013110307454937.htm
19,http://nld.com.vn/giao-duc-khoa-hoc/fpt-hop-tac-toan-dien-voi-truong-dh-bach-khoa-ha-noi-ve-cong-nghe-40-20201118184908042.htm
20,http://nld.com.vn/giao-duc-khoa-hoc/dai-hoc-fpt-can-tho-tuyen-sinh-nganh-hoc-moi-dau-tien-tai-dbscl-20190518193747447.htm
21,http://nld.com.vn/giao-duc-khoa-hoc/truong-dai-hoc-fpt-bi-phat-500-trieu-dong-201111230835435.htm
22,http://nld.com.vn/giao-duc-khoa-hoc/truong-dh-fpt-ra-mat-trang-xep-hang-hoc-sinh-thpt-20200331163617117.htm
23,http://nld.com.vn/thoi-su/2-me-con-mac-covid-19-du-tiec-cuoi-nguoi-con-di-hoc-tai-truong-dai-hoc-fpt-20210131200204941.htm
24,https://nld.com.vn/giao-duc-khoa-hoc/trang-369.htm
25,http://nld.com.vn/thoi-su/9000-sinh-vien-truong-dai-hoc-fpt-co-ca-mac-covid-19-da-ve-que-20210201171050002.htm
26,http://nld.com.vn/giao-duc-khoa-hoc/dai-hoc-tu-thuc-so-ke-cong-lap-ve-ty-le-sinh-vien-co-viec-lam-cao-20180810113653264.htm
27,https://nld.com.vn/giao-duc/dai-hoc-fpt-he-chinh-quy-xet-tuyen-bo-sung-200-chi-tieu-nguyen-vong-2-20160825191655013.htm
28,http://nld.com.vn/giao-duc-khoa-hoc/khoi-cong-xay-dung-truong-dai-hoc-fpt-20090814122032843.htm
29,http://nld.com.vn/giao-duc-khoa-hoc/dh-fpt-duoc-giao-quyen-tu-chu-170967.htm
30,http://nld.com.vn/thoi-su/cach-ly-1-nam-sinh-vien-o-ha-noi-ve-que-khong-khai-bao-y-te-ho-va-sot-39-do-c-202102041512285.htm
31,http://nld.com.vn/giao-duc-khoa-hoc/10-hoc-sinh-xuat-sac-nhan-hoc-bong-toan-phan-tu-dh-len-tien-si-20190725180701878.htm
32,http://nld.com.vn/phap-luat/nam-sinh-vien-dung-man-kich-bi-bat-coc-tong-tien-bo-me-20221107161003954.htm
33,http://nld.com.vn/giao-duc-khoa-hoc/dua-tuyen-sinh-dai-hoc-bang-chieu-tro-20200830231650182.htm
34,http://nld.com.vn/giao-duc/dai-hoc-fpt-nhan-ky-luc-ve-sieu-tri-nho-20160415193803891.htm
35,http://nld.com.vn/giao-duc-khoa-hoc/thu-khoa-hoc-vien-hau-can-den-tu-hoa-binh-da-nhap-hoc-tai-truong-dh-fpt-20190417081847384.htm
36,http://nld.com.vn/doanh-nghiep/dai-hoc-fpt-dau-tu-xay-dung-tai-khu-cong-nghe-cao-tp-hcm-20131006081717649.htm
37,https://nld.com.vn/giao-duc-khoa-hoc/dh-fpt-dao-tao-chung-chi-microsoft-oracle-atc-amazon-20160412155517755.htm
38,https://nld.com.vn/tuyen-sinh/gan-5000-thi-sinh-du-thi-tuyen-sinh-dh-fpt-188104.htm
39,http://nld.com.vn/thoi-su/xe-khach-cho-f1-va-22-f2-cua-bn-1815-tu-ha-noi-ve-nghe-an-20210201071601445.htm
40,http://nld.com.vn/thoi-su/ket-qua-xet-nghiem-nam-sinh-vien-fpt-ve-que-khong-khai-bao-y-te-ho-va-sot-39-do-c-20210204193009827.htm
41,http://nld.com.vn/giao-duc-khoa-hoc/ngay-65--dh-fpt-cong-bo-ket-qua-thi-222524.htm
42,http://nld.com.vn/giao-duc-khoa-hoc/sinh-vien-nhuong-phong-ky-tuc-xa-lam-noi-cach-ly-covid-19-20210520121126863.htm
43,http://nld.com.vn/giao-duc-khoa-hoc/hoc-dai-hoc-dedi-du-hoc-20180321152700475.htm
44,http://nld.com.vn/cong-nghe/gioi-tre-lam-ban-voi-nhac-cu-co-truyen-20220813202125705.htm
45,http://nld.com.vn/giai-tri/thac-si-truong-dh-fpt-thi-hoa-hau-moi-truong-viet-nam-2021-20210517074611798.htm
46,http://nld.com.vn/dao-tao/50-suat-tuyen-thang-va-hoc-bong-toan-phan-tai-dh-fpt-2012050304376314.htm
47,http://nld.com.vn/giao-duc-khoa-hoc/lap-lo-ten-goi-truong-dh-quoc-te-20211207201809008.htm
48,http://nld.com.vn/thoi-su/clip-dua-hon-1000-nguoi-dan-o-o-dich-nong-nhat-ha-noi-di-cach-ly-trong-dem-20210901211446853.htm
49,http://nld.com.vn/giao-duc-khoa-hoc/fpt-khoi-cong-to-hop-giao-duc-cong-nghe-cao-dau-tien-tai-dbscl-20171206142110619.htm
50,http://nld.com.vn/van-nghe/du-khach-thich-thu-kham-pha-dan-bau-tai-khong-gian-buu-dien-tp-hcm-20221211113724897.htm
